,City,Lng,Lat,Temp_Max,Humidity,Cloudiness,Wind_Speed,Country,Date
0,Mar del Plata,-57.5575,-38.0023,292.15,59,40,6.69,AR,1619288449
1,Kimbe,150.1429,-5.5502,297.05,93,65,0.62,PG,1619288229
2,Kruisfontein,24.7314,-34.0033,288.15,92,90,0.89,ZA,1619288395
3,Busselton,115.3333,-33.65,284.26,88,0,0.83,AU,1619288149
4,Bredasdorp,20.0403,-34.5322,285.15,87,96,2.57,ZA,1619288396
5,Kaitangata,169.8464,-46.2817,280.37,88,45,0.89,NZ,1619288396
6,San Vicente de Cañete,-76.3835,-13.0751,295.8,71,8,2.91,PE,1619288739
7,Butaritari,172.7902,3.0707,301.17,76,96,5.23,KI,1619288239
8,Upernavik,-56.1549,72.7868,274.35,85,40,2.68,GL,1619288243
9,Geraldton,114.6,-28.7667,288.15,94,40,1.54,AU,1619288398
10,Leningradskiy,178.4167,69.3833,266.14,93,100,1.96,RU,1619288399
11,Punta Arenas,-70.9167,-53.15,284.15,71,75,7.2,CL,1619288591
12,Pisco,-76.2167,-13.7,294.26,78,0,4.63,PE,1619288400
13,Mahébourg,57.7,-20.4081,299.15,83,75,7.72,MU,1619288400
14,Arraial do Cabo,-42.0278,-22.9661,299.15,73,20,5.66,BR,1619288742
15,Avarua,-159.775,-21.2078,299.15,78,20,5.66,CK,1619288401
16,Seoul,126.9778,37.5683,285.15,93,0,1.03,KR,1619288474
17,Port Elizabeth,25.5701,-33.918,288.15,94,0,3.09,ZA,1619288724
18,Bambous Virieux,57.7575,-20.3428,299.26,83,75,7.72,MU,1619288744
19,Ushuaia,-68.3,-54.8,286.15,58,75,5.66,AR,1619288290
20,Khatanga,102.5,71.9667,273.28,97,100,7.63,RU,1619288404
21,Grindavik,-22.4338,63.8424,281.15,87,90,10.29,IS,1619288404
22,Saldanha,17.9442,-33.0117,292.15,55,94,3.09,ZA,1619288405
23,Verkhoyansk,133.385,67.5447,265.19,93,100,2.3,RU,1619288324
24,Jamestown,-79.2353,42.097,289.26,30,1,6.17,US,1619288406
25,Rikitea,-134.9692,-23.1203,299.03,70,99,7.22,PF,1619288193
26,Ikungi,34.7667,-5.1333,291.59,80,95,2.53,TZ,1619288407
27,Dhidhdhoo,73.1,6.8833,301.89,72,55,1.74,MV,1619288407
28,Onega,38.1404,63.9061,278.37,92,100,0.41,RU,1619288408
29,Kumba,9.4469,4.6363,296.12,94,97,1.12,CM,1619288408
30,Weatherford,-97.7972,32.7593,294.82,69,44,3.13,US,1619288409
31,Barrow,-156.7887,71.2906,269.15,80,1,1.4,US,1619288409
32,Saint Paul Harbor,-152.4072,57.79,279.15,87,90,1.2,US,1619288256
33,Port Alfred,26.891,-33.5906,293.01,84,53,4.41,ZA,1619288681
34,Tara,74.371,56.8944,277.15,61,100,2.27,RU,1619288395
35,Hastings,0.5729,50.8552,284.15,62,13,7.2,GB,1619288404
36,Constitución,-72.4167,-35.3333,291.76,55,0,6.87,CL,1619288411
37,Antofagasta,-70.4,-23.65,293.71,63,20,4.63,CL,1619288411
38,Bluff,168.3333,-46.6,283.15,76,82,2.68,NZ,1619288412
39,Kapaa,-159.319,22.0752,297.59,73,40,7.2,US,1619288207
40,Manokwari,134.0833,-0.8667,298.81,81,100,1.71,ID,1619288413
41,Tazovsky,78.7,67.4667,272.75,93,100,3.99,RU,1619288413
42,Cape Town,18.4232,-33.9258,290.37,82,0,5.14,ZA,1619288394
43,The Valley,-63.0578,18.217,303.15,65,40,6.17,AI,1619288752
44,Conceição do Araguaia,-49.2647,-8.2578,305.15,58,0,3.6,BR,1619288752
45,Lhokseumawe,97.1507,5.1801,298.25,87,100,1.74,ID,1619288415
46,Hilo,-155.09,19.7297,295.15,83,90,2.57,US,1619288415
47,Atuona,-139.0333,-9.8,300.18,73,25,9.49,PF,1619288416
48,Hobart,147.3294,-42.8794,282.59,71,75,3.6,AU,1619288317
